,x6,x11,x16,x23,x41,x53,x57,x58,x66,x104
1,0.0041268,0.015433,0.000831,0.048926,0.13461,3.3903,0.0010866,0.89816,0.081082,0.91109
2,0.0011092,0.020278,0.00053718,0.047843,0.1966,3.0601,0.0010782,0.2626,0.072803,0.95576
3,0.00024687,0.0235,0.0001601,0.042599,0.1609,2.5531,0.00095095,0.096276,0.053065,0.91999
4,5.24E-05,0.018711,7.56E-05,0.038578,0.12482,1.8436,0.00075082,0.089975,0.031688,0.91923
5,1.17E-05,0.015099,4.00E-05,0.029618,0.107,1.2964,0.00062719,0.086081,0.017638,0.86263
6,2.52E-06,0.010536,2.25E-05,0.025451,0.08719,0.8634,0.00052008,0.083349,0.0095418,0.84018
7,5.48E-07,0.0080386,1.37E-05,0.020508,0.070535,0.60668,0.00046992,0.074855,0.0053884,0.83127
9,2.47E-08,0.0048285,6.24E-06,0.012728,0.0577,0.26872,0.00034595,0.074878,0.0017497,0.74868
11,1.19E-09,0.0027171,3.51E-06,0.0080366,0.045261,0.14538,0.00025259,0.076831,0.00050852,0.65788
13,5.84E-11,0.0014049,2.62E-06,0.0060068,0.039139,0.087904,0.00022706,0.073196,0.00015895,0.62302
15,2.96E-12,0.00079568,2.05E-06,0.0051878,0.037114,0.07406,0.00020671,0.072695,4.85E-05,0.53519
17,1.42E-13,0.00044175,1.94E-06,0.0046908,0.037124,0.061744,0.00019444,0.075829,1.51E-05,0.56812
